job_id,title,company,city,location,work_mode,applications,posted_before,skills,url
4272150475,MAX Sisjön söker nya kollegor 20h/v,MAX Burgers,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",,0.0,1 week ago,"AV, open source software, +1 more",https://www.linkedin.com/jobs/search/?currentJobId=4272150475&keywords=&location=Sweden&start=75
4273065811,"Web Content and Communications Specialist, Lund",Axis Communications,Lund,"Lund, Skåne County, Sweden",On-site,100.0,1 week ago,"Edit, Web Content, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4273065811&keywords=&location=Sweden&start=75
4275620548,Medarbetare till hemtjänst i Stockholm/Nacka sökes,Internetmedicin,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,2.0,2 weeks ago,"Analytical Skills, Swedish, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4275620548&keywords=&location=Sweden&start=75
4272148714,IT Support Specialist,Activision Blizzard,Malmo,"Malmo, Skåne County, Sweden",On-site,92.0,1 week ago,"Technical Support, Troubleshooting, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4272148714&keywords=&location=Sweden&start=75
4281478988,Financial Analyst,Confidential Co.,EMEA,EMEA,Remote,100.0,1 day ago,"Analytical Skills, English, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4281478988&keywords=&location=Sweden&start=75
4270740532,Jobba där det händer-På våra konserter 🍺🍹🌭🍔,Stockholm Live AB,Johanneshov,"Johanneshov, Stockholm County, Sweden",On-site,6.0,2 weeks ago,"AV, open source software, +3 more",https://www.linkedin.com/jobs/search/?currentJobId=4270740532&keywords=&location=Sweden&start=75
4267775352,Website Online Marketing Specialist,BSH Home Appliances Northern Europe,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,100.0,Reposted 1 day ago,"Analytical Skills, CMS, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4267775352&keywords=&location=Sweden&start=75
4273808954,Vi söker nu en visningsvärd/-värdinna,VINCENT SCHAFFLERS HUSBIL OCH HUSVAGN AB,Kalmar,"Kalmar, Kalmar County, Sweden",On-site,1.0,1 week ago,"Hostessing, 预约, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4273808954&keywords=&location=Sweden&start=75
4275329875,Customer Support with Polish,Dals,European Union,European Union,Remote,100.0,2 weeks ago,"English, Communication, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4275329875&keywords=&location=Sweden&start=75
4279253248,Vi vill bli fler i köket på Pinchos Magasinsgatan Göteborg,Pincho Nation,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",On-site,3.0,4 days ago,"Insured Value, AV, +3 more",https://www.linkedin.com/jobs/search/?currentJobId=4279253248&keywords=&location=Sweden&start=75
4281486220,Flight Attendant,Confidential Co.,EMEA,EMEA,Remote,100.0,1 day ago,"English, airline, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4281486220&keywords=&location=Sweden&start=75
4267515413,IT-support,BioArctic,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,100.0,3 weeks ago,"Technical support, Consulting desk support, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4267515413&keywords=&location=Sweden&start=75
4278635245,Travel Consultant,BCD Travel,Sweden,Sweden,Remote,100.0,1 week ago,"Communication, Critical Thinking, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4278635245&keywords=&location=Sweden&start=75
4279582229,Café- & Köksansvarig,Almars gård,Karlstad,"Karlstad, Värmland County, Sweden",On-site,3.0,4 days ago,"Food and Beverage, Supervisory Skills, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4279582229&keywords=&location=Sweden&start=75
4277337561,Förvaltningsassistent,Fastighets AB Balder,Gävle,"Gävle, Gävleborg County, Sweden",,25.0,5 days ago,"Operations Management, AV, +4 more",https://www.linkedin.com/jobs/search/?currentJobId=4277337561&keywords=&location=Sweden&start=75
4278807026,Marketing & Communications Specialist,ABB,Västerås,"Västerås, Västmanland County, Sweden",,22.0,2 days ago,"Advertising, English, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4278807026&keywords=&location=Sweden&start=75
4269904514,Shift Manager (part-time),Five Guys Scandinavia,Uppsala,"Uppsala, Uppsala County, Sweden",On-site,6.0,2 weeks ago,"Food Handling, Coaching, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4269904514&keywords=&location=Sweden&start=100
4265579327,Hovmästare Falkenberg Strandbad,ESS Group,Falkenberg,"Falkenberg, Halland County, Sweden",On-site,1.0,3 weeks ago,"Hotel Management, Food and Beverage, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4265579327&keywords=&location=Sweden&start=100
4265076719,Biluthyrare - extrajobb,JOHAN AHLBERG BIL AB,Växjö,"Växjö, Kronoberg County, Sweden",On-site,8.0,1 month ago,"AV, open source software, +5 more",https://www.linkedin.com/jobs/search/?currentJobId=4265076719&keywords=&location=Sweden&start=100
4267441220,Socialadministratör till verksamhetsområdet barn- och vuxenenheten,Olofströms Kommun,Olofström,"Olofström, Blekinge County, Sweden",,2.0,3 weeks ago,"AV, Insured Value, +7 more",https://www.linkedin.com/jobs/search/?currentJobId=4267441220&keywords=&location=Sweden&start=100
4281505809,Customer Service Operations Specialist,Viaplay Group,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,8.0,1 day ago,"Analytical Skills, Customer Service, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4281505809&keywords=&location=Sweden&start=100
4258216158,Examensarbete inom klimatanpassning och social hållbarhet,AFRY,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",,20.0,Reposted 3 weeks ago,"Demo, Operations Management, +2 more",https://www.linkedin.com/jobs/search/?currentJobId=4258216158&keywords=&location=Sweden&start=100
4273533564,"Löneadministratör till personalenheten, Örebro",Specialpedagogiska skolmyndigheten,Örebro,"Örebro, Örebro County, Sweden",On-site,14.0,1 week ago,"Payroll Management, Payroll Payment, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4273533564&keywords=&location=Sweden&start=100
4279254238,Digital Communication Officer,Elis Sverige (Sweden),Malmo,"Malmo, Skåne County, Sweden",On-site,61.0,4 days ago,"Digital Communication, PR, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4279254238&keywords=&location=Sweden&start=100
